time,USEmbassy,RenkeLUMS,PAirGardenTown,PAirDHAPhase2,PAirAnarkali,PAirHarbanspura,PAirDefenceChowk,PAirIqbalTown,PAirAkbarChowk,PAirTownship,MetStation,DentalCollege,EPAGulberg
3/6/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.498,162.141,-1
3/7/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,79.168,95.386,-1
3/8/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,76.308,76.308,-1
3/9/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.38,100.506,-1
3/10/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,60.529,98.742,-1
3/11/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48.958,53.265,-1
3/12/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74.762,55.68,-1
3/13/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.457,182.668,-1
3/14/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,74.658,90.923,-1
3/15/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.747,103.769,-1
3/16/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.187,194.976,-1
3/17/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,61.851,131.313,-1
3/18/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,78.037,137.952,-1
3/19/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.33,117.396,-1
3/20/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.755,24.959,-1
3/21/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,52.965,-1,-1
3/22/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,59.299,-1,-1
3/23/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,48.507,-1,-1
3/24/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,53.181,-1,-1
3/25/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,70.907,-1,-1
3/26/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,72.91,-1,-1
3/27/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,84.879,-1,-1
3/28/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,69.779,-1,-1
3/29/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,82.261,-1,-1
3/30/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
3/31/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.059,-1,-1
4/1/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,51.743,-1,-1
4/2/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62.149,-1,-1
4/3/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,68.765,-1,-1
4/4/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,99.162,-1,-1
4/5/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,93.484,-1,-1
4/6/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,65.2,-1,-1
4/7/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.861,-1,-1
4/8/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,35.807,-1,-1
4/9/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,50.943,-1,-1
4/10/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,39.469,-1,-1
4/11/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,41.21,-1,-1
4/12/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.808,-1,-1
4/13/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,34.45,-1,-1
4/14/2019,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.723,-1,-1
